datetime	mean	std	sum	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
2017-07-12 08:01:00	0.935	1.181	29	0	0	0	0	0	1	0	0	1	0	0	0	0	1	2	4	0	3	1	2	0	1	0	0	2	4	0	2	2	0	0	1	1	1
2017-07-12 08:02:00	1.161	1.214	36	0	0	0	0	0	1	0	0	2	0	2	0	1	1	3	0	0	3	1	2	1	2	1	0	2	3	0	2	0	0	0	4	3	2
2017-07-12 08:03:00	1.097	1.326	34	0	0	0	0	0	1	0	0	0	0	1	0	1	1	2	1	0	3	1	3	0	1	1	0	2	4	0	0	4	0	0	4	2	2
2017-07-12 08:04:00	0.903	1.044	28	0	0	0	0	0	1	0	0	1	0	2	0	0	1	3	1	0	0	1	3	0	1	0	0	1	3	2	1	1	0	0	3	1	2
2017-07-12 08:05:00	1.065	1.153	33	0	0	0	0	0	2	0	0	0	0	2	0	1	2	2	1	0	2	1	2	0	4	0	0	2	3	3	1	0	0	0	1	2	2
2017-07-12 08:06:00	1.161	1.734	36	0	0	0	0	0	2	0	0	0	0	0	0	1	1	3	1	0	3	1	3	0	3	0	0	1	3	1	0	0	0	0	8	2	3
2017-07-12 08:07:00	0.935	1.289	29	0	0	0	0	0	1	2	0	0	0	1	0	1	0	2	4	0	3	0	3	1	4	0	0	0	3	0	0	0	0	0	1	1	2
2017-07-12 08:08:00	1.097	1.375	34	0	0	0	0	1	0	1	0	0	0	2	0	2	0	1	2	0	3	1	4	0	3	0	0	5	2	0	0	1	0	0	3	2	1
2017-07-12 08:09:00	1.161	1.416	36	0	0	0	0	1	0	1	0	0	0	2	0	2	1	2	5	0	2	0	4	3	1	0	0	0	3	1	0	0	0	0	3	2	3
2017-07-12 08:10:00	0.806	1.046	25	0	0	0	0	1	1	1	0	2	0	2	0	0	0	2	3	0	3	0	1	0	1	0	0	2	3	0	0	0	0	0	0	2	1
2017-07-12 08:11:00	1.129	1.335	35	0	0	0	0	4	3	1	0	2	0	2	0	1	2	2	1	0	3	0	1	1	0	2	0	2	5	0	0	0	0	0	0	2	1
2017-07-12 08:12:00	0.839	1.068	26	0	0	0	0	3	1	1	0	2	0	1	0	0	0	1	2	0	3	0	3	0	1	1	0	1	3	1	0	0	0	0	0	2	0
2017-07-12 08:13:00	1.065	1.504	33	0	0	0	0	7	1	1	0	2	0	1	0	1	0	2	3	0	3	0	3	0	1	1	0	2	2	2	0	0	0	0	0	1	0
2017-07-12 08:14:00	0.935	1.124	29	0	0	0	0	1	1	2	0	4	0	1	0	0	0	2	1	0	3	0	3	1	2	1	0	2	2	0	0	1	0	0	0	2	0
2017-07-12 08:15:00	1.129	1.284	35	0	0	0	0	2	4	2	0	2	0	2	0	0	0	2	2	0	3	0	1	0	3	2	0	1	2	2	0	1	0	0	0	4	0
2017-07-12 08:16:00	1.032	1.402	32	0	0	0	0	1	1	0	0	2	0	2	0	0	0	4	1	0	3	0	3	5	1	0	0	2	2	3	0	0	0	0	0	2	0
2017-07-12 08:17:00	1.355	2.009	42	0	0	0	0	0	1	5	0	2	0	0	0	0	0	3	8	0	1	0	2	5	4	2	0	2	4	2	0	0	0	0	0	1	0
2017-07-12 08:18:00	0.871	1.231	27	0	0	0	0	0	2	1	0	3	0	2	0	5	0	2	2	0	1	0	0	0	2	2	0	2	2	1	0	0	0	0	0	0	0
